department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
BIO;112;"General Botany";0011;LAB;8404;Tu 10:00AM - 11:50AM;Science&nbsp; 120;Eric Jones;09/05/2012 - 12/15/2012
BIO;112;"General Botany";0020;LEC;14810;MoWeFr 9:00AM - 9:50AM;Science&nbsp; 102;Eric Jones;09/05/2012 - 12/15/2012
BIO;112;"General Botany";0022;LAB;14811;Tu 1:00PM - 2:50PM;TBA;Eric Jones;09/05/2012 - 12/15/2012
BIO;115;"Marine Fauna &amp; Macroalgae of Downeast Maine";0001;LEC;13863;Th 9:00AM - 12:50PM;DEI Education Center;Brian F Beal;09/05/2012 - 12/15/2012
BIO;206;"Intro to Marine Biology";0010;LEC;8405;MoFr 11:00AM - 11:50AM;Science&nbsp; 13;Gayle Kraus;09/05/2012 - 12/15/2012
BIO;206;"Intro to Marine Biology";0011;LAB;8406;Tu 1:00PM - 4:50PM;Science&nbsp; 13;Gayle Kraus;09/05/2012 - 12/15/2012
BIO;211;"Field and Laboratory Techniques in Biology";0001;RSG;8407;TBA;TBA;Staff;TBA
BIO;223;"Marine Mammals &amp; Pelagic Birds";0010;LEC;8410;MoFr 4:00PM - 4:50PM;Science&nbsp; 13;Gayle Kraus;09/05/2012 - 12/15/2012
BIO;223;"Marine Mammals &amp; Pelagic Birds";0011;LAB;8411;Sa 9:00AM - 12:50PM;Science&nbsp; 13;Gayle Kraus;09/05/2012 - 12/15/2012
BIO;224;"General Entomology";0010;LEC;8412;MoFr 12:00PM - 12:50PM;Science&nbsp; 109;Gerard P Zegers;09/05/2012 - 12/15/2012
BIO;224;"General Entomology";0011;LAB;8413;Th 9:00AM - 10:50AM;Science&nbsp; 120;Gerard P Zegers;09/05/2012 - 12/15/2012
BIO;245;"General Ecology";0010;LEC;8414;MoFr 12:00PM - 12:50PM;Science&nbsp; 115;Gayle Kraus;09/05/2012 - 12/15/2012
BIO;245;"General Ecology";0011;LAB;8415;Th 1:00PM - 4:50PM;Science&nbsp; 120;Gayle Kraus;09/05/2012 - 12/15/2012
BIO;265;"Genetics";0010;LEC;8416;MoWeFr 10:00AM - 10:50AM;Science&nbsp; 109;Ellen E Hostert;09/05/2012 - 12/15/2012
BIO;265;"Genetics";0011;LAB;8417;Th 1:00PM - 3:50PM;Science&nbsp; 208;Ellen E Hostert;09/05/2012 - 12/15/2012
BIO;305;"Research Seminar";0001;SEM;8418;TBA;TBA;Staff;TBA
BIO;310;"Special Topics in Mariculture";0001;LEC;8419;TBA;TBA;Staff;TBA
BIO;333;"Plant Ecology";0010;LEC;8420;MoFr 11:00AM - 11:50AM;Science&nbsp; 115;Eric Jones;09/05/2012 - 12/15/2012
BIO;333;"Plant Ecology";0011;LAB;8421;Tu 1:00PM - 4:50PM;Science&nbsp; 120;Staff;09/05/2012 - 12/15/2012
BIO;360;"Marine Ecology";0010;LEC;8422;MoWe 7:30AM - 8:50AM;Science&nbsp; 13;Brian F Beal;09/05/2012 - 12/15/2012
BIO;360;"Marine Ecology";0011;LAB;8423;Tu 7:30AM - 10:20AM;Torrey 106;Brian F Beal;09/05/2012 - 12/15/2012
BIO;401;"Senior Thesis in Biology";0001;THS;8424;TBA;TBA;Staff;TBA
BIO;402;"Senior Thesis in Biology";0001;THS;8425;TBA;TBA;Staff;TBA
BIO;403;"Senior Thesis in Biology";0001;THS;8426;TBA;TBA;Staff;TBA
BIO;404;"Senior Thesis in Biological Research";0001;THS;8427;TBA;TBA;Staff;TBA
