department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
EDU;125;"Introduction to Theory and Practice in K";0004;LEC;23808;TuTh 9:50AM - 11:30AM;Ed Center 112 - Distance Ed Rm;Joseph M Tutlis;10/24/2013 - 12/19/2013
EDU;202;"Practicum and Seminar in K";0002;FEX;23651;Mo 9:50AM - 11:30AM;Ed Center 112 - Distance Ed Rm;Barbara J Eretzian;09/04/2013 - 12/19/2013;TuTh 8:00AM - 12:00PM;In Field;Barbara J Eretzian;09/04/2013 - 12/19/2013
EDU;221;"Secondary/Middle Block: Curriculum";0004;FEX;23669;TuWeTh 7:30AM - 2:30PM;In Field;Elizabeth A Yeaton-Evans;10/07/2013 - 10/25/2013;TuWeTh 7:30AM - 2:30PM;In Field;Elizabeth A Yeaton-Evans;11/19/2013 - 12/13/2013
EDU;280;"Diversity and Social Justice Education";0002;LEC;30616;TBA;Arranged;Yoonjung Choi;09/04/2013 - 12/19/2013
EDU;301;"Content Literacy in the Middle/Secondary School";0001;LEC;23652;TuTh 9:50AM - 11:30AM;Ed Center 110 - IndependentLvg;Clarissa S Thompson;09/04/2013 - 12/19/2013
EDU;302;"Computers in K";0001;LEC;23653;TuTh 1:00PM - 2:40PM;Computer Center 104 - MAC Lab;Joella Ashley Montgomery;09/04/2013 - 12/19/2013
EDU;304;"Science Education K";0002;SEM;23998;TuTh 1:50PM - 3:30PM;Ed Center 111 - Math/Science;Carole Lee;09/04/2013 - 12/19/2013
EDU;330;"Young Adult Literature";0001;LEC;23655;TuTh 12:00PM - 1:40PM;Ricker Addition 207;Clarissa S Thompson;09/04/2013 - 12/19/2013
EDU;331;"Mathematics Education K";0001;LEC;23656;TuTh 12:00PM - 1:40PM;Ed Center 111 - Math/Science;Shannon Larsen;09/04/2013 - 12/19/2013
EDU;332;"Social Science and Global Perspectives K";0001;LEC;23760;TuTh 8:00AM - 9:40AM;Ed Center 112 - Distance Ed Rm;Yoonjung Choi;09/04/2013 - 12/19/2013
EDU;361;"Methods for Teaching Secondary/Middle Mathematics";0001;LEC;23657;TuTh 12:00PM - 1:40PM;Ed Center 112 - Distance Ed Rm;Grace J Ward;09/04/2013 - 12/19/2013
EDU;362;"Middle/Secondary Social Studies and Multicultural Education";0001;LEC;23658;MoFr 1:20PM - 3:00PM;Ed Center 103 - Literacy Class;Elizabeth A Yeaton-Evans;09/04/2013 - 12/19/2013
EDU;364;"Teaching Laboratory Sciences";0001;LEC;23697;TuTh 9:50AM - 11:30AM;Preble Hall 333;Grace T Eason;09/04/2013 - 12/19/2013
EDU;370;"Art in the Classroom K";0002;LEC;23762;Th 5:45PM - 7:25PM;Ed Center 012;Dona Seegers;09/04/2013 - 12/19/2013
EDU;388;"Reading";0001;LEC;23660;TuTh 8:20AM - 10:50AM;Ed Center 114;Marcia F Nash;09/04/2013 - 12/19/2013
EDU;402;"Philosophy and History of Education";0002;LEC;23666;TuTh 1:50PM - 3:30PM;Ed Center 113;Grace J Ward;09/04/2013 - 12/19/2013
EDU;433;"Reading";0002;LEC;23664;TuTh 11:00AM - 1:30PM;Ed Center 114;Phyllis A Blackstone;09/04/2013 - 12/19/2013
EDU;450;"Student Teaching and Seminar in Elementary Education K";0008;FEX;27715;TBA;In Field;Kathleen A Miles;10/21/2013 - 12/19/2013
EDU;460;"Student Teaching and Seminar in Middle/Secondary Education";0008;FEX;27721;TBA;In Field;Kathleen A Miles;10/21/2013 - 12/19/2013
EDU;490;"Student Teaching and Seminar in Community Health Education K";0004;FEX;27734;TBA;TBA;Elizabeth Luckraft;10/21/2013 - 12/19/2013
EDU;580;"Technology Integration";0002;LEC;30780;TBA;Web;Theresa L Overall;09/03/2013 - 12/15/2013;Tu 7:00PM - 7:30PM;Ed Center 012;Theresa L Overall;09/03/2013 - 09/03/2013;Tu 7:00PM - 7:30PM;Ed Center 012;Theresa L Overall;10/01/2013 - 10/01/2013;Tu 7:00PM - 7:30PM;Ed Center 012;Theresa L Overall;10/22/2013 - 10/22/2013;Tu 7:00PM - 7:30PM;Ed Center 012;Theresa L Overall;11/19/2013 - 11/19/2013
EDU;583;"Development and Planning of Curriculum Assessment I";0001;LEC;30622;TBA;Web;Yoonjung Choi;09/03/2013 - 12/15/2013;Tu 4:00PM - 7:00PM;Ed Center 012;Yoonjung Choi;09/03/2013 - 09/03/2013;Tu 4:00PM - 7:00PM;Ed Center 012;Yoonjung Choi;10/01/2013 - 10/01/2013;Tu 4:00PM - 7:00PM;Ed Center 012;Yoonjung Choi;10/22/2013 - 10/22/2013;Tu 4:00PM - 7:00PM;Ed Center 012;Yoonjung Choi;11/19/2013 - 11/19/2013
EDU;586;"Field";0001;LEC;30667;TBA;Web;Johanna Prince;09/10/2013 - 12/17/2013;Tu 4:00PM - 7:30PM;Ed Center 329 - Tchng &amp; Lrng C;Johanna Prince;09/10/2013 - 09/10/2013;Tu 4:00PM - 7:30PM;Ed Center 329 - Tchng &amp; Lrng C;Johanna Prince;11/12/2013 - 11/12/2013;Tu 4:00PM - 7:30PM;Ed Center 329 - Tchng &amp; Lrng C;Johanna Prince;12/10/2013 - 12/10/2013;Tu 4:00PM - 7:30PM;Ed Center 329 - Tchng &amp; Lrng C;Johanna Prince;12/17/2013 - 12/17/2013
ENG;100;"Writing Seminar";0015;SEM;23378;TuTh 9:50AM - 11:30AM;Ricker Hall Rm 116;Margaret Farmer;09/04/2013 - 12/19/2013
ENG;121H;"Introduction to Linguistics";0002;LEC;23439;TuTh 1:50PM - 3:30PM;Roberts 107;Ming-Ming Pu;09/04/2013 - 12/19/2013
ENG;150;"Creative Writing";0001;LEC;23831;MoWe 1:20PM - 3:00PM;Ricker Hall Rm 116;Nathaniel Minton;09/04/2013 - 12/19/2013
ENG;181;"Literary Analysis and Interpretation";0004;LEC;30251;TuTh 1:50PM - 3:30PM;Ricker Addition 202;Erin Kappeler;09/04/2013 - 12/19/2013
ENG;210;"Fiction Writing";0001;SEM;23380;Tu 1:50PM - 5:10PM;Roberts 209B;Jesse Evan Miller;09/04/2013 - 12/19/2013
ENG;211;"Poetry Writing";0001;SEM;23381;WeFr 8:40AM - 10:20AM;115 South Street;Jeffrey J Thomson;09/04/2013 - 12/19/2013
ENG;212;"Creative Nonfiction";0001;SEM;23382;MoWe 1:20PM - 3:00PM;115 South Street;Gretchen T Legler;09/04/2013 - 12/19/2013
ENG;213H;"Journalism";0001;SEM;23383;TuTh 3:50PM - 5:30PM;Roberts 201;Luann I Yetter;09/04/2013 - 12/19/2013
ENG;214;"Screenwriting";0001;SEM;23440;Tu 1:50PM - 5:10PM;Ed Center 103 - Literacy Class;Nathaniel Minton;09/04/2013 - 12/19/2013
ENG;217;"Feature Writing";0001;SEM;23832;TuTh 12:00PM - 1:40PM;Roberts 207;Michael D Burke;09/04/2013 - 12/19/2013
ENG;230;"Writing/Teaching of Writing";0001;LEC;23364;Th 6:15PM - 9:35PM;Ed Center 111 - Math/Science;Deborah W Overstreet;09/04/2013 - 12/19/2013
ENG;250H;"Shakespeare";0002;LEC;23856;MoWe 3:40PM - 5:20PM;Ricker Addition 207;Misty Krueger;09/04/2013 - 12/19/2013
ENG;252H;"British Texts and Contexts II";0001;LEC;23366;TuTh 12:00PM - 1:40PM;Roberts 105;Christine M Darrohn;09/04/2013 - 12/19/2013
ENG;263H;"Studies in Twentieth";0001;LEC;23834;MoWeFr 2:25PM - 3:30PM;Roberts 103;Kristen Case;09/04/2013 - 12/19/2013
ENG;267H;"Twentieth";0001;LEC;23869;MoWeFr 2:25PM - 3:30PM;Roberts 105;Jeffrey J Thomson;09/04/2013 - 12/19/2013
ENG;272H;"American Texts and Contexts";0001;LEC;23367;MoWeFr 1:10PM - 2:15PM;Roberts 103;Kristen Case;09/04/2013 - 12/19/2013
ENG;277H;"Topics in English";0001;LEC;24356;MoFr 1:20PM - 3:00PM;Roberts 201;George H Miller;09/04/2013 - 12/19/2013
ENG;312;"Advanced Nonfiction Writing";0001;SEM;23412;TuTh 12:00PM - 1:40PM;115 South Street;Gretchen T Legler;09/04/2013 - 12/19/2013
ENG;314;"Advanced Screenwriting";0001;LEC;23445;MoWe 3:40PM - 5:20PM;115 South Street;Nathaniel Minton;09/04/2013 - 12/19/2013
ENG;344;"Eighteenth";0001;LEC;23835;TuTh 3:50PM - 5:30PM;Roberts 103;Misty Krueger;09/04/2013 - 12/19/2013
ENG;377;"Advanced Topics in English";0002;LEC;23837;Tu 1:50PM - 5:10PM;Roberts 105;Sabine Klein;09/04/2013 - 12/19/2013
ENG;396;"Writing Apprenticeship";0005;FEX;23389;TBA;Arranged;Tanya Ann Kennedy;09/04/2013 - 12/19/2013
ENG;397;"Independent Study in English";0005;IND;30650;TBA;Arranged;Meghan Willing;09/04/2013 - 12/19/2013
ENG;401;"Seminar in Writing";0001;SEM;23384;TuTh 3:50PM - 5:30PM;115 South Street;Gretchen T Legler;09/04/2013 - 12/19/2013
ENG;449;"Twentieth";0001;LEC;23839;MoWe 3:40PM - 5:20PM;Roberts 105;Christine M Darrohn;09/04/2013 - 12/19/2013
ENG;481;"Early European Literature";0002;LEC;29820;TuTh 1:50PM - 3:30PM;115 South Street;Eric C Brown;09/04/2013 - 12/19/2013
FRE;101H;"Elementary French I";0002;LEC;23400;MoWeFr 10:30AM - 11:35AM;Roberts 201;Michael Bruce;09/04/2013 - 12/19/2013
FRE;102H;"Elementary French II";0001;LEC;23397;MoWeFr 9:15AM - 10:20AM;Roberts 203;Sylvie Charron;09/04/2013 - 12/19/2013
FRE;191;"Conversation at French Table";0001;LEC;23399;MoTh 12:00PM - 1:00PM;SnackBar;Sylvie Charron;09/04/2013 - 12/19/2013
