department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
MAT;255;"Calculus I";0001;LEC;26476;MoTuWeThFr 1:50PM - 2:50PM;Gymnasium 118;Krishna Kaphle;09/03/2013 - 12/20/2013
MAT;351;"Statistics I";2001;LEC;26711;TBA;Online;Krishna Kaphle;09/03/2013 - 12/20/2013
MUS;120;"History of Rock &amp; Roll";2001;LEC;25750;TBA;Online;Scott T Brickman;10/28/2013 - 12/20/2013
MUS;156;"Class Piano";0001;MUS;25718;MoTh 12:30PM - 1:50PM;Old Model School 102 Music Lab;Scott T Brickman;09/03/2013 - 12/20/2013
MUS;200;"Fundamentals of Music";2001;LEC;29226;TBA;Online;Scott T Brickman;09/03/2013 - 12/20/2013
MUS;420;"Music Technology";0001;LEC;25739;TuFr 12:30PM - 1:50PM;Old Model School 102 Music Lab;Scott T Brickman;09/03/2013 - 12/20/2013
NUR;200;"Introduction to Professional Nursing";0001;LEC;25582;Mo 1:00PM - 2:50PM;Cyr Hall 205;Cheryl Roberts;09/03/2013 - 12/20/2013
NUR;200L;"Fundamentals of Nursing Lab I";0002;LAB;25678;We 11:30AM - 2:10PM;Nadeau Hall 104 Nursing Lab;Randi Jean Annie St Peter;09/03/2013 - 12/20/2013
NUR;230;"Promoting Personal Health and Wellness";0002;LEC;25631;Th 1:00PM - 3:50PM;Cyr Hall 200;Jenny Radsma;09/03/2013 - 12/20/2013
NUR;230L;"Fundamentals of Nursing Lab II";0001;LAB;25901;Tu 2:30PM - 5:20PM;Nadeau Hall 104 Nursing Lab;Randi Jean Annie St Peter;09/03/2013 - 12/20/2013
NUR;301;"Promoting Health Communities";2001;LEC;25540;TBA;Online;Karen S Benjamin;09/03/2013 - 12/20/2013
NUR;302;"Pharmacology";0001;LEC;25639;Fr 11:00AM - 1:50PM;Cyr Hall 205;Tanya Lynn Sleeper;09/03/2013 - 12/20/2013
NUR;309;"Holistic Health Assessment";0001;LEC;25564;Mo 12:00PM - 2:50PM;Cyr Hall 202;Diane M Griffin;09/03/2013 - 12/20/2013
NUR;309L;"Holistic Health Assessment Lab";0004;LAB;25758;Fr 11:30AM - 2:20PM;Nadeau Hall 104 Nursing Lab;Rebecca Overton;09/03/2013 - 12/20/2013
NUR;312;"Conceptual Issues of Professional Nursing";2001;LEC;25541;TBA;Online;Cheryl Roberts;09/03/2013 - 12/20/2013
NUR;330;"Adult Health I: Caring for Individuals/Families with Acute Alterations in Health";0002;LEC;25636;Th 2:00PM - 3:50PM;Cyr Hall 205;Tanya Lynn Sleeper;09/03/2013 - 12/20/2013
NUR;330C;"Adult Health I: Caring for Individuals/ Families with Acute Alterations in Health Clinical";0008;LAB;30301;TBA;TBA;Marsha Louise Labbe;09/03/2013 - 12/20/2013
NUR;330L;"Adult Health I Lab";0004;LAB;25653;We 4:00PM - 6:50PM;Nadeau Hall 126, Nursing lab;Larry Andrew Nadeau;09/03/2013 - 12/20/2013
NUR;335;"Family Health I";0001;LEC;25560;Th 11:00AM - 12:50PM;Cyr Hall 202;Sandy Lee Pelletier;09/03/2013 - 12/20/2013
NUR;335C;"Family Health I Clinical";0004;LAB;25871;TuWe 7:00AM - 3:00PM;TBA;Lauren Elaine Currier;09/03/2013 - 12/20/2013
NUR;335L;"Family Health I";0005;LAB;26148;Sa 12:00PM - 2:50PM;Nadeau Hall 104 Nursing Lab;Staff;09/03/2013 - 12/20/2013
NUR;365;"Family Health II: Pediatrics";0001;LEC;25563;Th 2:00PM - 3:50PM;Cyr Hall 202;Sandy Lee Pelletier;09/03/2013 - 12/20/2013
NUR;365C;"Family Health II";0002;LAB;25877;TuWe 7:00AM - 3:00PM;TBA;Jacqueline Devoe;09/03/2013 - 12/20/2013
NUR;380;"Transcultural Care In Nursing";2001;LEC;25762;TBA;Online;Cheryl Roberts;09/03/2013 - 12/20/2013
NUR;401;"Health Related Research and Evidence";2001;LEC;25546;TBA;Online;Sandy Lee Pelletier;09/03/2013 - 12/20/2013
NUR;413;"Healthcare Ethics and the Law";2001;LEC;25547;TBA;Online;Erin C Soucy;09/03/2013 - 12/20/2013
NUR;425;"Adult Health III: Caring For Individuals/Families With Complex Alterations In Health";0001;LEC;25590;Mo 9:00AM - 11:50AM;Cyr Hall 202;Cheryl Roberts;09/03/2013 - 12/20/2013
NUR;425C;"Adult Health III Clinical: Caring For Individuals/Families With Complex Alterations In Health";0001;LAB;25885;TuWe 7:00AM - 3:00PM;TBA;Larry Andrew Nadeau;09/03/2013 - 12/20/2013
NUR;425L;"Adult Health III Lab";0003;LAB;25668;Fr 2:30PM - 5:20PM;Nadeau Hall 126, Nursing lab;Mary Ann Desjardins;09/03/2013 - 12/20/2013
NUR;452;"Mental Health Nursing";0001;LEC;25565;Mo 3:00PM - 5:50PM;Cyr Hall 202;Diane M Griffin;09/03/2013 - 12/20/2013
NUR;497;"Senior Capstone";2001;LEC;25548;TBA;Online;Diane M Griffin;09/03/2013 - 12/20/2013
NUR;497C;"Senior Preceptorship Practicum";0001;LAB;25760;TuWe 7:00AM - 3:00PM;TBA;Cheryl Roberts;09/03/2013 - 12/20/2013
POS;100;"Intro to Political Science";0001;LEC;26756;TuFr 3:30PM - 4:50PM;Cyr Hall 201;John L Martin;09/03/2013 - 12/20/2013
POS;111;"Parliamentary Procedure and Government";2001;LEC;26757;TBA;Online;John L Martin;09/03/2013 - 12/20/2013
PSY;100;"General Psychology";2001;LEC;25979;TBA;Online;Sara Kay Michaud;09/03/2013 - 12/20/2013
PSY;233;"Substance Abuse Counseling";0001;LEC;26754;We 6:30PM - 9:20PM;Cyr Hall 201;Shawn Edward Graham;09/03/2013 - 12/20/2013
PSY;330;"Interviewing and Counseling";0001;LEC;26753;MoTh 3:30PM - 4:50PM;Cyr Hall 201;Georgette Fehrenbach;09/03/2013 - 12/20/2013
PSY;340;"Research Methods";0001;LEC;29705;TuFr 2:00PM - 3:20PM;Old Model School 103;Joseph Bjerklie;09/03/2013 - 12/20/2013
