department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ART;481;"Advanced Printmaking I";0001;STU;20065;TuTh 1:00PM - 3:30PM;John Mitchell Center 265 - G;Damir Porobic;09/03/2013 - 12/23/2013
ART;482;"Advanced Printmaking II";0001;STU;20066;TuTh 1:00PM - 3:30PM;John Mitchell Center 265 - G;Damir Porobic;09/03/2013 - 12/23/2013
ART;491;"Advanced Sculpture";0001;STU;20067;MoWe 1:00PM - 3:30PM;Robie/Andrews 3 - G;Duncan A Hewitt;09/03/2013 - 12/23/2013
ART;492;"Advanced Sculpture";0001;STU;20068;MoWe 1:00PM - 3:30PM;Robie/Andrews 3 - G;Duncan A Hewitt;09/03/2013 - 12/23/2013
AST;103;"Activities and Experiments";0014;LAB;20077;Mo 6:00PM - 8:00PM;Bailey 308 - G;Bernard B Reim;09/03/2013 - 12/23/2013
BIO;103;"Introduction to Marine Biology";0001;LEC;24892;TuTh 10:15AM - 11:30AM;Masterton 113 - P;Louis F Gainey;09/03/2013 - 12/23/2013
BIO;104;"Marine Biology Laboratory";0004;LAB;24903;Tu 2:30PM - 4:20PM;Science Building 403 - P;Michael P Callahan;09/03/2013 - 12/23/2013
BIO;105;"Biological Principles I: Cellular Biology";0002;LEC;24902;MoWe 4:10PM - 5:25PM;Luther Bonney 326 - P;Kenneth E Weber;09/03/2013 - 12/23/2013
BIO;106;"Laboratory Biology";0016;LAB;22323;Th 8:30AM - 11:20AM;Science Building 166 - P;Staff;09/03/2013 - 12/23/2013
BIO;107;"Biological Principles II: Evolution";0003;LEC;22324;MoWe 4:10PM - 5:25PM;Masterton 113 - P;Christine R Maher;09/03/2013 - 12/23/2013;Fr 11:15AM - 2:05PM;Science Building 403 - P;Christine R Maher;09/03/2013 - 12/23/2013
BIO;109;"Biological Principles III: Functional Biology";0001;LEC;20085;TuTh 10:15AM - 11:30AM;Luther Bonney 524 - P;Douglas A Currie;09/03/2013 - 12/23/2013
BIO;111;"Human Anatomy and Physiology I";0004;LEC;22568;We 5:35PM - 8:05PM;Payson Smith 303 - P;Jonathan Rud;09/03/2013 - 12/23/2013
BIO;201;"Genetics";0001;LEC;22328;TuTh 4:10PM - 5:25PM;Science Building 165 - P;Kenneth E Weber;09/03/2013 - 12/23/2013
BIO;281;"Microbiology and Human Disease";0001;LEC;20099;MoWe 1:15PM - 2:30PM;Payson Smith 303 - P;Rachel Larsen;09/03/2013 - 12/23/2013
BIO;282;"Microbiology and Human Disease Laboratory";0013;LAB;20102;TuTh 2:45PM - 4:35PM;Science Building 405 - P;Rachel Larsen;09/03/2013 - 12/23/2013
BIO;291;"Ornithology";0001;LEC;25708;We 9:00AM - 11:30AM;Science Building 362 - P;James Paruk;09/03/2013 - 12/23/2013;Fr 9:00AM - 12:00PM;Science Building 152 - P;James Paruk;09/03/2013 - 12/23/2013
BIO;331;"Ecological Principles";0001;LEC;22326;TuTh 10:15AM - 11:30AM;Payson Smith 303 - P;Michael Mazurkiewicz;09/03/2013 - 12/23/2013
BIO;345;"Pathophysiology";0002;LEC;24901;TuTh 8:45AM - 10:00AM;Payson Smith 208 - P;David E Harris;09/03/2013 - 12/23/2013
BIO;408;"Experimental Genetics";0001;LAB;22331;Fr 2:00PM - 6:00PM;Science Building 203 - P;Kenneth E Weber;09/03/2013 - 12/23/2013
