department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ARH;361;"Topics in Art History";0860;LEC;1240;View Details;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;09/14/2013 - 09/21/2013;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;11/09/2013 - 11/09/2013;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;12/07/2013 - 12/07/2013
ARH;397;"Independent Study in Art History";0001;IND;1241;View Details;TBA;TBA;Staff;09/03/2013 - 12/13/2013
ARH;397;"Independent Study in Art History";0002;IND;1242;View Details;TBA;TBA;Michael H Grillo;09/03/2013 - 12/13/2013
ARH;397;"Independent Study in Art History";0003;IND;1243;View Details;TBA;TBA;Justin Wolff;09/03/2013 - 12/13/2013
ARH;398;"Directed Study in Art History";0001;IND;1244;View Details;TBA;TBA;Staff;09/03/2013 - 12/13/2013
ARH;398;"Directed Study in Art History";0002;IND;1245;View Details;TBA;TBA;Michael H Grillo;09/03/2013 - 12/13/2013
ARH;398;"Directed Study in Art History";0003;IND;1246;View Details;TBA;TBA;Justin Wolff;09/03/2013 - 12/13/2013
ARH;398;"Directed Study in Art History";0004;IND;3158;View Details;TBA;TBA;Staff;09/03/2013 - 12/13/2013
ARH;452;"Critical Methods in History of Art";0001;LEC;23225;View Details;Mo 3:10PM - 5:40PM;Lord Hall 225;Michael H Grillo;09/03/2013 - 12/13/2013
ARH;452;"Critical Methods in History of Art";0990;LEC;23226;View Details;Mo 3:10PM - 5:40PM;On-line Course;Michael H Grillo;09/03/2013 - 12/13/2013
ARH;496;"Field Experience in Art History";0001;FEX;1247;View Details;TBA;TBA;Staff;09/03/2013 - 12/13/2013
ARH;497;"Independent Study in Art History";0001;IND;1248;View Details;TBA;TBA;Staff;09/03/2013 - 12/13/2013
ARH;497;"Independent Study in Art History";0002;IND;1249;View Details;TBA;TBA;Michael H Grillo;09/03/2013 - 12/13/2013
ARH;497;"Independent Study in Art History";0003;IND;1250;View Details;TBA;TBA;Justin Wolff;09/03/2013 - 12/13/2013
ARH;498;"Directed Study in Art History";0001;IND;1251;View Details;TBA;TBA;Staff;09/03/2013 - 12/13/2013
ARH;498;"Directed Study in Art History";0002;IND;1252;View Details;TBA;TBA;Michael H Grillo;09/03/2013 - 12/13/2013
ARH;498;"Directed Study in Art History";0003;IND;1253;View Details;TBA;TBA;Justin Wolff;09/03/2013 - 12/13/2013
ARH;499;"Capstone Experience in History of Art";0001;IND;1254;View Details;TBA;TBA;;09/03/2013 - 12/13/2013
ARH;597;"Independent Graduate Study";0001;IND;3672;View Details;TBA;TBA;Justin Wolff;09/03/2013 - 12/13/2013
ARH;597;"Independent Graduate Study";0860;IND;2819;View Details;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;09/14/2013 - 09/21/2013;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;11/09/2013 - 11/09/2013;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;12/07/2013 - 12/07/2013
ARH;652;"Critical Methods in History of Art";0001;LEC;23227;View Details;Mo 3:10PM - 5:40PM;Lord Hall 225;Michael H Grillo;09/03/2013 - 12/13/2013
ARH;652;"Critical Methods in History of Art";0990;LEC;23228;View Details;Mo 3:10PM - 5:40PM;On-line Course;Michael H Grillo;09/03/2013 - 12/13/2013
ART;100;"Drawing I";0665;LAB;23231;View Details;MoWe 5:00PM - 7:30PM;Fred Hutchinson Center;Ronald E Nadeau;09/03/2013 - 12/13/2013
ART;110;"2";0860;LAB;23210;View Details;MoWe 3:10PM - 5:40PM;Lord Hall 300;Kerstin L Engman;09/03/2013 - 12/13/2013
ART;180;"Photography I";0501;LAB;23230;View Details;TuTh 4:00PM - 6:30PM;Wyeth Art Center 142;Matthew Smolinsky;09/03/2013 - 12/13/2013;TuTh 4:00PM - 6:30PM;Wyeth Art Center 143;Matthew Smolinsky;09/03/2013 - 12/13/2013;TuTh 4:00PM - 6:30PM;Wyeth Art Center 146;Matthew Smolinsky;09/03/2013 - 12/13/2013
ART;200;"Drawing II";0665;LAB;23232;View Details;MoWe 5:00PM - 7:30PM;Fred Hutchinson Center;Ronald E Nadeau;09/03/2013 - 12/13/2013
ART;200;"Drawing II";0860;LAB;23222;View Details;TuTh 3:10PM - 5:40PM;Wyeth Art Center 151;Nina Jerome Sutcliffe;09/03/2013 - 12/13/2013;TuTh 3:10PM - 5:40PM;Wyeth Art Center 154;Nina Jerome Sutcliffe;09/03/2013 - 12/13/2013
ART;220;"Sculpture I";0001;LAB;1258;View Details;MoWe 12:30PM - 3:00PM;Sculpture Building 100;Gregory M Ondo;09/03/2013 - 12/13/2013
ART;220;"Sculpture I";0002;LAB;1259;View Details;TuTh 9:00AM - 11:30AM;Sculpture Building 100;Gregory M Ondo;09/03/2013 - 12/13/2013
ART;230;"Painting I";0001;LAB;1260;View Details;TuTh 3:10PM - 5:40PM;Wyeth Art Center 141;James E Linehan;09/03/2013 - 12/13/2013;TuTh 3:10PM - 5:40PM;Wyeth Art Center 138;James E Linehan;09/03/2013 - 12/13/2013
ART;230;"Painting I";0665;STU;1053;View Details;Fr 12:00PM - 5:00PM;Fred Hutchinson Center;Kerstin L Engman;09/03/2013 - 12/13/2013
ART;240;"Printmaking I";0001;LAB;1261;View Details;TuTh 12:30PM - 3:00PM;Wyeth Art Center 163;Susan H Groce;09/03/2013 - 12/13/2013;TuTh 12:30PM - 3:00PM;Wyeth Art Center 142;Susan H Groce;09/03/2013 - 12/13/2013
ART;240;"Printmaking I";0002;LAB;1262;View Details;TuTh 9:00AM - 11:30AM;Wyeth Art Center 142;Susan H Groce;09/03/2013 - 12/13/2013;TuTh 9:00AM - 11:30AM;Wyeth Art Center 163;Susan H Groce;09/03/2013 - 12/13/2013
ART;270;"Digital Art I";0500;LAB;3491;View Details;TuTh 9:00AM - 11:30AM;Lord Hall 311;Matthew Smolinsky;09/03/2013 - 12/13/2013
ART;270;"Digital Art I";0990;LAB;1067;View Details;TBA;On-line Course;Andrew O Hurtt;09/03/2013 - 12/13/2013
ART;320;"Sculpture II";0001;LAB;3518;View Details;TuTh 12:30PM - 3:00PM;Sculpture Building 100;Gregory M Ondo;09/03/2013 - 12/13/2013
ART;330;"Painting II";0001;LAB;2790;View Details;Mo 12:30PM - 5:30PM;Wyeth Art Center 141;Michael H Lewis;09/03/2013 - 12/13/2013;Mo 12:30PM - 5:30PM;Wyeth Art Center 138;Michael H Lewis;09/03/2013 - 12/13/2013
ART;330;"Painting II";0665;STU;1054;View Details;Fr 12:00PM - 5:00PM;Fred Hutchinson Center;Kerstin L Engman;09/03/2013 - 12/13/2013
ART;340;"Printmaking II";0001;LAB;2788;View Details;We 12:30PM - 5:30PM;Wyeth Art Center 142;Susan H Groce;09/03/2013 - 12/13/2013;We 12:30PM - 5:30PM;Wyeth Art Center 163;Susan H Groce;09/03/2013 - 12/13/2013
ART;360;"Topics in Studio Art";0001;LAB;29920;View Details;We 6:30PM - 9:00PM;Innovation Media Rsch Ctr 108;Sheridan L Kelley;09/03/2013 - 12/13/2013
ART;360;"Topics in Studio Art";0860;LEC;1263;View Details;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;09/14/2013 - 09/21/2013;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;11/09/2013 - 11/09/2013;Sa 9:00AM - 4:00PM;Engineering Sci Rsch Bldg 165;;12/07/2013 - 12/07/2013
