department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
EDU;352;"Curriculum Design";0001;LEC;24448;We 5:00PM - 7:50PM;Torrey 232;Michael P Matis;09/03/2013 - 12/14/2013
EDU;490;"Student Teaching";0001;FEX;24449;Fr 2:30PM - 3:50PM;Torrey 102;;09/03/2013 - 12/14/2013
ENG;;"";0001;LEC;30090;TuTh 3:30PM - 4:20PM;Torrey 230;Susan J Willey;09/03/2013 - 12/14/2013
ENG;;"12";0002;LEC;24960;MoFr 11:00AM - 12:20PM;Torrey 221;Carol Jean Wolf;09/03/2013 - 12/14/2013
ENG;101;"Composition";0005;LEC;25298;TBA;Web;Heather Lynne Hepler;09/03/2013 - 12/14/2013
ENG;113;"Introduction to Humanities";0001;LEC;25568;MoWeFr 10:00AM - 10:50AM;Science&nbsp; 102;Gerard P NeCastro;09/03/2013 - 12/14/2013
ENG;114;"Topics in World Literature";0002;LEC;24991;TuTh 12:30PM - 1:50PM;Torrey 234;Marcus Anthony LiBrizzi;09/03/2013 - 12/14/2013
ENG;117;"Intro to Literary &amp; Cultural Studies";0001;LEC;25340;TBA;Web;Marcus Anthony LiBrizzi;12/30/2013 - 01/17/2014
ENG;210;"Beginning Creative Writing";0001;LEC;25005;MoWeFr 9:00AM - 9:50AM;Science&nbsp; 109;Gerard P NeCastro;09/03/2013 - 12/14/2013
ENG;227;"Young Adult Literature";0001;WEB;29180;TBA;Web;Heather Lynne Hepler;09/03/2013 - 12/14/2013
ENG;231;"Techniques of Poetry";0001;LEC;25008;TuTh 11:00AM - 12:20PM;Torrey 234;Gerard P NeCastro;09/03/2013 - 12/14/2013
ENG;242;"Electronic &amp; Periodical Publishing";0001;LEC;25012;TuTh 9:30AM - 10:50AM;Torrey 234;Gerard P NeCastro;09/03/2013 - 12/14/2013
ENG;327;"Masterpieces of American Literature";0001;LEC;25180;MoWe 2:00PM - 3:20PM;Torrey 234;Marcus Anthony LiBrizzi;09/03/2013 - 12/14/2013
ENG;371;"Intermediate Creative Writing Workshop";0004;LEC;25575;Tu 2:00PM - 4:50PM;Science&nbsp; 115;Marcus Anthony LiBrizzi;09/03/2013 - 12/14/2013
ENG;471;"Advanced Creative Writing Workshop";0004;LEC;25580;Tu 2:00PM - 4:50PM;Science&nbsp; 115;Marcus Anthony LiBrizzi;09/03/2013 - 12/14/2013
FYS;101;"First";0010;LEC;29522;Tu 2:30PM - 3:45PM;Spruce Mountain Adult Ed;Jon Reisman;09/03/2013 - 10/01/2013
GEO;101;"Intro to Geography";0001;LEC;24419;TuTh 2:00PM - 3:20PM;Torrey 226;Daniel Qualls;09/03/2013 - 12/14/2013
HON;220;"Soliya:";0001;LEC;25561;MoWe 2:00PM - 3:20PM;Torrey 221;James H Moreira;09/03/2013 - 12/14/2013
HON;312;"Soliya Advanced Projects";0001;LEC;25562;MoWe 2:00PM - 3:20PM;Torrey 221;James H Moreira;09/03/2013 - 12/14/2013
HTY;115;"World History to 1500";0003;LEC;25343;TBA;Web;Lori E Cole;09/03/2013 - 12/14/2013
HTY;116;"World History since 1500";0001;LEC;25184;TuTh 12:30PM - 1:50PM;Torrey 230;Lori E Cole;09/03/2013 - 12/14/2013
HTY;250;"History of China";0001;LEC;25186;MoFr 2:00PM - 3:20PM;Torrey 230;Randall Kindleberger;09/03/2013 - 12/14/2013
HTY;332;"History of American Women";0001;LEC;25543;TuTh 11:00AM - 12:20PM;Torrey 228;Kay S Kimball;09/03/2013 - 12/14/2013
INV;180;"Create:";0001;LEC;30072;Tu 5:30PM - 8:20PM;Torrey 230;James Lenke;09/03/2013 - 12/14/2013
MAT;;"";0002;LEC;24910;MoWeFr 9:00AM - 9:50AM;Torrey 230;Melanie Laurel Tardiff;09/03/2013 - 12/14/2013
MAT;;"12";0002;LEC;30627;MoWeFr 1:00PM - 1:50PM;Torrey 230;Melanie Laurel Tardiff;09/03/2013 - 12/14/2013
MAT;102;"Intermediate Algebra";0002;LEC;24915;TuTh 9:30AM - 10:50AM;Science&nbsp; 109;Philip Drew Loud;09/03/2013 - 12/14/2013
MAT;113;"Introduction to Statistics";0003;LEC;24918;TBA;Web;Uriah Anderson;09/03/2013 - 12/14/2013
MAT;126;"Calculus I";0001;LEC;24920;MoWe 4:00PM - 5:20PM;Science&nbsp; 115;Stuart G Swain;09/03/2013 - 12/14/2013;Th 6:00PM - 7:20PM;Science&nbsp; 115;Stuart G Swain;09/03/2013 - 12/14/2013
MAT;215;"Applied Statistics";0011;LAB;24922;Tu 11:00AM - 12:50PM;Torrey 106;Brian F Beal;09/03/2013 - 12/14/2013
MUS;101;"UMM Chorale";0001;MUS;25586;Tu 6:00PM - 8:00PM;Powers&nbsp; 201;Gene C Nichols;09/03/2013 - 12/14/2013
MUS;103;"Applied Music: Private Lessons";0010;MUS;25198;TBA;TBA;Duane M Ingalls;09/03/2013 - 12/14/2013
MUS;107;"Applied Music: Performing Groups";0004;MUS;25598;We 6:00PM - 8:00PM;POW 3 - Johnny Johnson Suite;Gene C Nichols;09/03/2013 - 12/14/2013
MUS;119;"Fundamentals of Music: Literacy";0001;LEC;25199;TuTh 11:00AM - 12:20PM;Powers&nbsp; 201;Gene C Nichols;09/03/2013 - 12/14/2013
MUS;207;"Applied Music: Performing Groups";0004;MUS;25605;We 6:00PM - 8:00PM;POW 3 - Johnny Johnson Suite;Gene C Nichols;09/03/2013 - 12/14/2013
MUS;211;"Topics in Music";0001;LEC;25201;MoWe 2:00PM - 3:20PM;Powers&nbsp; 201;Gene C Nichols;09/03/2013 - 12/14/2013
MUS;301;"UMM Chorale";0001;MUS;25587;Tu 6:00PM - 8:00PM;Powers&nbsp; 201;Gene C Nichols;09/03/2013 - 12/14/2013
MUS;307;"Applied Music: Performing Group";0004;MUS;25613;We 6:00PM - 8:00PM;POW 3 - Johnny Johnson Suite;Gene C Nichols;09/03/2013 - 12/14/2013
MUS;407;"Applied Music: Performing Groups";0004;MUS;25618;We 6:00PM - 8:00PM;POW 3 - Johnny Johnson Suite;Gene C Nichols;09/03/2013 - 12/14/2013
PHI;101;"Introduction to Philosophy";0011;LEC;29328;We 7:00PM - 9:45PM;East Millinocket Center;Thomas R Halkett;09/03/2013 - 12/14/2013
POS;203;"Freedom:";0010;LEC;29563;Tu 2:30PM - 3:45PM;Greenville;Jon Reisman;10/08/2013 - 12/10/2013
POS;305;"Environmental Policy";0010;LEC;29486;We 1:00PM - 2:15PM;Spruce Mountain Adult Ed;Jon Reisman;09/03/2013 - 12/14/2013
PSY;100;"Animal Behavior and Selection of Service Dogs";0001;LEC;25470;Mo 1:00PM - 3:45PM;Torrey 102;Katherine C Hecht;09/03/2013 - 12/14/2013
PSY;101;"Animal Behavior &amp; Selection of Service Dogs Lab";0001;LAB;25624;Mo 5:00PM - 6:50PM;Science&nbsp; 109;Katherine C Hecht;09/03/2013 - 12/14/2013
