department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
BIO;186;"Special Topics in Biology";0001;LEC;4256;View Details;TBA;ONLINE;Krista M Delahunty;01/22/2013 - 05/16/2013
BIO;262;"Human Anatomy and Physiology II";0001;LEC;4257;View Details;MoWeFr 10:00AM - 10:50AM;Folsom Hall 203;Scott Dobrin;01/22/2013 - 05/16/2013
BIO;262;"Human Anatomy and Physiology II";0002;LEC;10553;View Details;MoWeFr 11:00AM - 11:50AM;Folsom Hall 206;Scott Dobrin;01/22/2013 - 05/16/2013
BIO;262;"Human Anatomy and Physiology II";0003;LAB;10554;View Details;Tu 12:30PM - 2:30PM;Folsom Hall 301;Carson Dobrin;01/22/2013 - 05/16/2013
BIO;262;"Human Anatomy and Physiology II";0004;LAB;10555;View Details;We 12:30PM - 2:30PM;Folsom Hall 301;Carson Dobrin;01/22/2013 - 05/16/2013
BIO;262;"Human Anatomy and Physiology II";0005;LAB;10556;View Details;Th 12:30PM - 2:30PM;Folsom Hall 301;Carson Dobrin;01/22/2013 - 05/16/2013
BIO;300;"Human Nutrition";0001;LEC;4258;View Details;MoWe 11:00AM - 12:15PM;Folsom Hall 303;Judith Ladd Roe;01/22/2013 - 05/16/2013
BIO;310;"Ornithology";0001;LEC;4259;View Details;MoWeFr 8:00AM - 8:50AM;Folsom Hall 205;Jason Clarence Johnston;01/22/2013 - 05/16/2013
BIO;310;"Ornithology";0002;LAB;4386;View Details;Tu 8:00AM - 10:45AM;Folsom Hall 301;Jason Clarence Johnston;01/22/2013 - 05/16/2013
BIO;316;"General Microbiology";0001;LEC;4245;View Details;MoWeFr 10:00AM - 10:50AM;Folsom Hall 303;Robert J Pinette;01/22/2013 - 05/16/2013
BIO;316;"General Microbiology";0002;LAB;4384;View Details;TuTh 1:15PM - 3:15PM;Folsom Hall 305;Robert J Pinette;01/22/2013 - 05/16/2013
BIO;316;"General Microbiology";0003;LAB;4385;View Details;TuTh 3:30PM - 5:30PM;Folsom Hall 305;Robert J Pinette;01/22/2013 - 05/16/2013
BIO;327;"Biochemistry";0001;LEC;4246;View Details;MoWe 12:30PM - 1:45PM;Folsom Hall 205;Michael A Knopp;01/22/2013 - 05/16/2013
BIO;327;"Biochemistry";0002;LAB;4387;View Details;We 2:00PM - 4:45PM;Folsom Hall 202;Michael A Knopp;01/22/2013 - 05/16/2013
BIO;386;"Special Topics in Biology";0001;LEC;10557;View Details;TuTh 11:00AM - 12:15PM;Folsom Hall 205;Scott Dobrin;01/22/2013 - 05/16/2013;Mo 2:00PM - 4:45PM;Folsom Hall 305;Scott Dobrin;01/22/2013 - 05/16/2013
BUS;101;"Introduction to Business";0001;LEC;4181;View Details;TBA;ONLINE;Stacey Lynn Emery;01/22/2013 - 05/16/2013
BUS;150;"Introduction to Financial Accounting";0001;LEC;12036;View Details;MoWe 11:00AM - 12:15PM;Pullen Hall 210;Stacey Lynn Emery;01/22/2013 - 05/16/2013
BUS;186;"Special Topics in Business";0001;LEC;12771;View Details;TBA;ONLINE;Robert L Murray;01/22/2013 - 05/16/2013
BUS;200;"Intermediate Business Computing";0001;LEC;4183;View Details;TuTh 9:30AM - 10:45AM;Folsom Hall 101A;Carolyn Dorsey Durepo;01/22/2013 - 05/16/2013
BUS;220;"Managerial Accounting";0001;LEC;4184;View Details;MoWe 12:30PM - 1:45PM;Folsom Hall 303;John B Pelletier;01/22/2013 - 05/16/2013
BUS;220;"Managerial Accounting";0002;LEC;14052;View Details;MoWe 2:00PM - 3:15PM;Folsom Hall 303;John B Pelletier;01/22/2013 - 05/16/2013
BUS;244;"Management Information System";0001;LEC;4185;View Details;TBA;ONLINE;Bryan Scott Thompson;01/22/2013 - 05/16/2013
BUS;245;"Programming for Managers";0001;LEC;4186;View Details;Mo 5:00PM - 7:45PM;Folsom Hall 101B;Michael G Dugal;01/22/2013 - 05/16/2013
BUS;286;"Special Topics in Business";0001;LEC;12775;View Details;TuTh 11:00AM - 12:15PM;Folsom Hall 101A;Bryan Scott Thompson;01/22/2013 - 05/16/2013
BUS;321;"Human Resource Management";0001;LEC;4187;View Details;TuTh 2:00PM - 3:15PM;Folsom Hall 203;Clare Exner;01/22/2013 - 05/16/2013
BUS;325;"Financial Management";0001;LEC;4188;View Details;TuTh 11:00AM - 12:15PM;Folsom Hall 203;Carolyn Dorsey Durepo;01/22/2013 - 05/16/2013
BUS;352;"Business Law II";0001;LEC;4189;View Details;TuTh 8:00AM - 9:15AM;Folsom Hall 203;Clare Exner;01/22/2013 - 05/16/2013
BUS;362;"Intermediate Accounting II";0001;LEC;4190;View Details;TuTh 9:30AM - 10:45AM;Normal 104A;Stacey Lynn Emery;01/22/2013 - 05/16/2013
BUS;386;"Special Topics in Business";0001;LEC;12774;View Details;TuTh 2:00PM - 3:15PM;Normal 106;Bryan Scott Thompson;01/22/2013 - 05/16/2013
BUS;405;"MIS Special Topies";0001;SEM;14053;View Details;Tu 6:00PM - 8:45PM;Folsom Hall 101A;Michael G Dugal;01/22/2013 - 05/16/2013
BUS;410;"Topics in Business Management";0001;LEC;4191;View Details;Mo 3:30PM - 6:15PM;Folsom Hall 206;Bryan Scott Thompson;01/22/2013 - 05/16/2013
BUS;464;"Advanced Accounting";0001;LEC;4192;View Details;MoWe 12:30PM - 1:45PM;Folsom Hall 204;Stacey Lynn Emery;01/22/2013 - 05/16/2013
BUS;469;"Strategic Professional";0001;LEC;4193;View Details;We 3:30PM - 6:15PM;Folsom Hall 203;Carolyn Dorsey Durepo;01/22/2013 - 05/16/2013
BUS;469;"Strategic Professional";0002;LEC;14054;View Details;We 3:30PM - 6:15PM;Folsom Hall 105;Staff;01/22/2013 - 05/16/2013
BUS;489;"Business Policy and Strategy";0001;LEC;4195;View Details;TuTh 3:30PM - 4:45PM;Pullen Hall 111;Robert L Murray;01/22/2013 - 05/16/2013
BUS;495;"Business Internship";0001;FEX;4196;View Details;TBA;UMPI Arranged Space;Carolyn Dorsey Durepo;01/22/2013 - 05/16/2013
CHI;102;"Introductory Chinese II";0001;LEC;4260;View Details;TuTh 4:30PM - 6:00PM;MSSM - Limestone;Zhu-Qi Lu;01/22/2013 - 05/16/2013
CHY;112;"Intermediate Chemistry";0001;LEC;4248;View Details;MoWeFr 11:00AM - 11:50AM;Folsom Hall 205;Michael A Knopp;01/22/2013 - 05/16/2013
CHY;112;"Intermediate Chemistry";0002;LAB;4389;View Details;Mo 2:00PM - 4:45PM;Folsom Hall 202;Carson Dobrin;01/22/2013 - 05/16/2013
CHY;122;"General Chemistry II";0001;LEC;4249;View Details;MoWeFr 9:00AM - 9:50AM;Folsom Hall 203;Michael A Knopp;01/22/2013 - 05/16/2013
CHY;122;"General Chemistry II";0002;LAB;4391;View Details;Tu 2:00PM - 4:45PM;Folsom Hall 202;Catherine A Chase;01/22/2013 - 05/16/2013
COS;105;"Computer Programming I";0001;LEC;4261;View Details;TuTh 9:30AM - 10:45AM;Folsom Hall 101B;Zhu-Qi Lu;01/22/2013 - 05/16/2013
CRJ;100;"Introduction to Criminal Justice";0001;LEC;13120;View Details;MoWe 2:00PM - 3:15PM;Folsom Hall 105;Charles Johnson;01/22/2013 - 05/16/2013
CRJ;227;"Criminal Justice Computing";0001;LEC;11327;View Details;MoWe 11:00AM - 12:15PM;Folsom Hall 101A;Charles Johnson;01/22/2013 - 05/16/2013
CRJ;227;"Criminal Justice Computing";0002;LEC;11329;View Details;MoWe 12:30PM - 1:45PM;Folsom Hall 101A;Charles Johnson;01/22/2013 - 05/16/2013
CRJ;281;"Topics in Criminal Justice";WIN1;LEC;12290;View Details;TBA;ONLINE;Charles Johnson;12/24/2012 - 01/18/2013
CRJ;332;"Juvenile Justice and Delinquency";0001;LEC;11324;View Details;TuTh 11:00AM - 12:15PM;Folsom Hall 303;Charles Johnson;01/22/2013 - 05/16/2013
CRJ;358;"Domestic Violence";0001;LEC;4225;View Details;TuTh 2:00PM - 3:15PM;Pullen Hall 212;Lisa R Leduc;01/22/2013 - 05/16/2013
CRJ;376;"Punishment &amp; Correction";0001;LEC;4220;View Details;MoWe 12:30PM - 1:45PM;Pullen Hall 212;Lisa R Leduc;01/22/2013 - 05/16/2013
CRJ;430;"Crime Control Policies";0001;LEC;11325;View Details;TuTh 9:30AM - 10:45AM;Folsom Hall 105;Charles Johnson;01/22/2013 - 05/16/2013
