department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
HTY;116;"World Civilization II";0001;LEC;4297;View Details;MoWeFr 10:00AM - 10:50AM;Folsom Hall 105;John Defelice;01/22/2013 - 05/16/2013
HTY;116;"World Civilization II";0002;LEC;4298;View Details;Tu 6:30PM - 9:15PM;Pullen Hall 213;J Donald Cyr;01/22/2013 - 05/16/2013
HTY;116;"World Civilization II";0003;LEC;4299;View Details;Tu 6:30PM - 9:15PM;Houlton Center;J Donald Cyr;01/22/2013 - 05/16/2013
HTY;116;"World Civilization II";0004;LEC;4300;View Details;MoWeFr 9:00AM - 9:50AM;Folsom Hall 205;John Defelice;01/22/2013 - 05/16/2013
HTY;116;"World Civilization II";6WK2;LEC;11955;View Details;TBA;ONLINE;John Defelice;03/18/2013 - 05/03/2013
HTY;116;"World Civilization II";WIN1;LEC;11712;View Details;TBA;ONLINE;John Defelice;12/24/2012 - 01/18/2013
HTY;161;"United States History I";0001;LEC;4301;View Details;TBA;ONLINE;Kimberly R Sebold;01/22/2013 - 05/16/2013
HTY;161;"United States History I";6WK1;LEC;11843;View Details;TBA;ONLINE;Kimberly R Sebold;01/22/2013 - 03/08/2013
HTY;161;"United States History I";WIN1;LEC;13118;View Details;TBA;ONLINE;J Donald Cyr;12/24/2012 - 01/18/2013
HTY;162;"United States History II";0001;LEC;4302;View Details;TBA;ONLINE;John J Zaborney;01/22/2013 - 05/16/2013
HTY;162;"United States History II";0002;LEC;4303;View Details;MoWeFr 9:00AM - 9:50AM;Folsom Hall 206;John J Zaborney;01/22/2013 - 05/16/2013
HTY;162;"United States History II";0003;LEC;4304;View Details;MoWeFr 10:00AM - 10:50AM;Folsom Hall 206;John J Zaborney;01/22/2013 - 05/16/2013
HTY;162;"United States History II";0004;LEC;4305;View Details;MoWeFr 11:00AM - 11:50AM;Pullen Hall 216;John J Zaborney;01/22/2013 - 05/16/2013
HTY;162;"United States History II";WIN1;LEC;11715;View Details;TBA;ONLINE;Kimberly R Sebold;12/24/2012 - 01/18/2013
HTY;301;"Medieval Europe";0002;LEC;7224;View Details;Mo 6:30PM - 9:15PM;Houlton Center;J Donald Cyr;01/22/2013 - 05/16/2013
HTY;314;"Egypt";0001;LEC;8931;View Details;TBA;ONLINE;John Defelice;01/22/2013 - 05/16/2013
HTY;350;"U.S. Environmental History";0001;LEC;8930;View Details;TBA;ONLINE;Kimberly R Sebold;01/22/2013 - 05/16/2013
HTY;370;"Topics in Non";0001;LEC;11001;View Details;TuTh 11:00AM - 12:15PM;Pullen Hall 213;John Defelice;01/22/2013 - 05/16/2013
HTY;370;"Topics in Non";0002;LEC;13577;View Details;TuTh 11:00AM - 12:15PM;Houlton Center;John Defelice;01/22/2013 - 05/16/2013
HTY;377;"Modern China";6WK2;LEC;4309;View Details;TBA;ONLINE;John Defelice;03/18/2013 - 05/03/2013
HTY;386;"Special Topics in History";0001;LEC;11778;View Details;Tu 6:00PM - 8:45PM;Folsom Hall 204;David E Putnam;01/22/2013 - 05/16/2013
HTY;400;"Discovering and Interpreting Local History";0001;LEC;8929;View Details;TBA;ONLINE;Kimberly R Sebold;01/22/2013 - 05/16/2013
HTY;423;"Colonial Society/Amer Revolution";0001;LEC;4311;View Details;TuTh 4:30PM - 5:45PM;Folsom Hall 105;John J Zaborney;01/22/2013 - 05/16/2013
INV;286;"Special Topics in Innovations";0001;LEC;12773;View Details;MoWe 2:00PM - 3:15PM;Folsom Hall 205;;01/22/2013 - 05/16/2013
MAT;;"17";0001;LEC;4313;View Details;MoWeFr 9:00AM - 9:50AM;Pullen Hall 216;Terry J Chalou;01/22/2013 - 05/16/2013
MAT;101;"Basic Statistics";0001;LEC;4315;View Details;TBA;ONLINE;Natalija Alexandria Brewer;01/22/2013 - 05/16/2013
MAT;101;"Basic Statistics";0003;LEC;4317;View Details;MoWe 2:00PM - 3:15PM;Folsom Hall 206;Malcolm A Coulter;01/22/2013 - 05/16/2013
MAT;101;"Basic Statistics";0004;LEC;4318;View Details;MoWe 4:00PM - 5:15PM;Houlton Center;Gloria Powers;01/22/2013 - 05/16/2013
MAT;101;"Basic Statistics";0005;LEC;10059;View Details;TuTh 9:30AM - 10:45AM;Folsom Hall 204;Terry J Chalou;01/22/2013 - 05/16/2013
MAT;101;"Basic Statistics";0006;LEC;4320;View Details;TuTh 11:00AM - 12:15PM;Normal 104A;Terry J Chalou;01/22/2013 - 05/16/2013
MAT;101;"Basic Statistics";6WK2;LEC;12024;View Details;TBA;ONLINE;Natalija Alexandria Brewer;03/18/2013 - 05/03/2013
MAT;112;"Principles of Math II";0001;LEC;4324;View Details;TBA;ONLINE;Harold L Jones;01/22/2013 - 05/16/2013
MAT;112;"Principles of Math II";0002;LEC;4325;View Details;MoWe 2:00PM - 3:15PM;Normal 104A;Terry J Chalou;01/22/2013 - 05/16/2013
MAT;117;"Intermediate Algebra";0001;LEC;4327;View Details;MoWeFr 10:00AM - 10:50AM;Pullen Hall 113;Peng Peng Yu;01/22/2013 - 05/16/2013
MAT;117;"Intermediate Algebra";0002;LEC;4328;View Details;TBA;ONLINE;Natalija Alexandria Brewer;01/22/2013 - 05/16/2013
MAT;131;"Calculus I";0001;LEC;4329;View Details;MoWeFr 11:00AM - 11:50AM;Folsom Hall 203;Zhu-Qi Lu;01/22/2013 - 05/16/2013;Fr 12:00PM - 12:50PM;Folsom Hall 203;Zhu-Qi Lu;01/22/2013 - 05/16/2013
MAT;140;"Mathematics for Business";0001;LEC;4330;View Details;TuTh 9:30AM - 10:45AM;Pullen Hall 215;Malcolm A Coulter;01/22/2013 - 05/16/2013
MAT;140;"Mathematics for Business";0002;LEC;4331;View Details;TuTh 9:30AM - 10:45AM;Houlton Center;Malcolm A Coulter;01/22/2013 - 05/16/2013
MAT;201;"Probability &amp; Statistics I";0002;LEC;7229;View Details;TBA;ONLINE;Harold L Jones;01/22/2013 - 05/16/2013
MAT;202;"Probability &amp; Statistics II";0001;LEC;4334;View Details;MoWeFr 10:00AM - 10:50AM;Folsom Hall 204;Zhu-Qi Lu;01/22/2013 - 05/16/2013
MAT;231;"Calculus III";0001;LEC;4335;View Details;TuTh 11:00AM - 12:15PM;Folsom Hall 206;Zhu-Qi Lu;01/22/2013 - 05/16/2013;We 12:00PM - 12:50PM;Folsom Hall 206;Zhu-Qi Lu;01/22/2013 - 05/16/2013
MAT;233;"Ordinary Differential Equations";0001;LEC;8326;View Details;MoWe 6:30PM - 7:45PM;Folsom Hall 206;Peng Peng Yu;01/22/2013 - 05/16/2013;Fr 11:00AM - 11:50AM;Folsom Hall 204;Peng Peng Yu;01/22/2013 - 05/16/2013
MAT;321;"Topics in Algebra";0001;LEC;4336;View Details;MoWe 2:00PM - 3:15PM;Pullen Hall 216;Zhu-Qi Lu;01/22/2013 - 05/16/2013
MLT;102;"Instrumen/Clinical Chemistry";0001;LEC;4337;View Details;TuTh 10:00AM - 11:30AM;Pullen Hall 115;Linda Graves;01/22/2013 - 05/16/2013
MLT;102;"Instrumen/Clinical Chemistry";0002;LEC;11784;View Details;TuTh 10:00AM - 11:30AM;Katz Library;Linda Graves;01/22/2013 - 05/16/2013
MLT;102;"Instrumen/Clinical Chemistry";0003;LEC;11785;View Details;TuTh 10:00AM - 11:30AM;Bangor Hall - UCB;Linda Graves;01/22/2013 - 05/16/2013
MLT;102;"Instrumen/Clinical Chemistry";0004;LEC;11786;View Details;TuTh 10:00AM - 11:30AM;Fred Hutchinson Center;Linda Graves;01/22/2013 - 05/16/2013
MLT;102;"Instrumen/Clinical Chemistry";0005;LEC;11787;View Details;TuTh 10:00AM - 11:30AM;Bath Brunswick;Linda Graves;01/22/2013 - 05/16/2013
MLT;102;"Instrumen/Clinical Chemistry";0006;LEC;11788;View Details;TuTh 10:00AM - 11:30AM;East Millinocket;Linda Graves;01/22/2013 - 05/16/2013
MLT;395;"Hospital Practicum";0001;CLN;4338;View Details;MoTuWeFr 8:00AM - 4:00PM;UMPI Arranged Space;Leigh Ann Belair;01/22/2013 - 05/16/2013
PHE;101;"Introduction to Athletic Training and Fitness";0001;LEC;4212;View Details;MoWe 11:00AM - 12:15PM;Pullen Hall 113;Barbara J Blackstone;01/22/2013 - 05/16/2013
PHE;102;"Developmental &amp; Gymnastics Activities";0001;PHE;12900;View Details;TuTh 8:00AM - 9:15AM;Gentile 105 Gym (full);Christine L Standefer;01/22/2013 - 05/16/2013
PHE;123;"Dance &amp; Rhythmic Activities";0001;PHE;12905;View Details;MoWe 11:00AM - 12:15PM;Wieden Hall GYM;Leo L Saucier;01/22/2013 - 05/16/2013
PHE;186;"Special Topics in Physical Education";0001;PHE;12959;View Details;TuTh 2:00PM - 3:15PM;Gentile 120 Pool;Amanda Gerarda Morin;01/22/2013 - 05/16/2013
PHE;204;"Winter Sports Activities";0001;PHE;12871;View Details;TuTh 11:00AM - 12:15PM;Gentile 105 Gym (full);Suzanne M Beaudet;01/22/2013 - 05/16/2013
PHE;246;"Assessments of";0001;LEC;4208;View Details;MoWeFr 9:00AM - 9:50AM;Wieden Hall MML;Barbara J Blackstone;01/22/2013 - 05/16/2013
PHE;246;"Assessments of";0002;LAB;4215;View Details;TuTh 9:30AM - 10:45AM;Wieden Hall MML;Barbara J Blackstone;01/22/2013 - 05/16/2013
PHE;267;"Teaching Elementary Physical Education";0001;LEC;12901;View Details;MoWeFr 9:00AM - 9:50AM;Pullen Hall 111;Christine L Standefer;01/22/2013 - 05/16/2013
PHE;274;"Structural Kinesiology";0001;LEC;12035;View Details;TuTh 11:00AM - 12:15PM;Pullen Hall 113;Aaron Peter Marston;01/22/2013 - 05/16/2013
PHE;274;"Structural Kinesiology";0002;LEC;14130;View Details;TuTh 8:00AM - 9:15AM;Pullen Hall 113;Aaron Peter Marston;01/22/2013 - 05/16/2013
PHE;313;"Psychology and Sociology of Sport and Movement";0001;LEC;12902;View Details;TuTh 9:30AM - 10:45AM;Pullen Hall 111;Christine L Standefer;01/22/2013 - 05/16/2013
PHE;343;"Therapeutic Rehabilitation in Athletic Training";0001;LEC;4210;View Details;TuTh 11:00AM - 12:15PM;Wieden Hall MML;Barbara J Blackstone;01/22/2013 - 05/16/2013
PHE;343;"Therapeutic Rehabilitation in Athletic Training";0002;LAB;12034;View Details;We 8:00AM - 10:00AM;Wieden Hall TRNG;Travis Aaron Parent;01/22/2013 - 05/16/2013
PHE;361;"Technology for Physical Educators";0001;LEC;12704;View Details;TBA;ONLINE;Leo L Saucier;01/22/2013 - 05/16/2013
PHE;375;"Physiological Assessment and Exercise Prescription";0001;LEC;12868;View Details;MoWeFr 8:00AM - 8:50AM;Gentile 108;Suzanne M Beaudet;01/22/2013 - 05/16/2013
PHE;382;"Physiology of Exercise";0001;LEC;12869;View Details;MoWeFr 10:00AM - 10:50AM;Pullen Hall 210;Suzanne M Beaudet;01/22/2013 - 05/16/2013
PHE;382L;"Physiology of Exercise Lab";0001;LAB;12872;View Details;Tu 3:30PM - 5:30PM;Gentile 108;Suzanne M Beaudet;01/22/2013 - 05/16/2013
PHE;382L;"Physiology of Exercise Lab";0002;LAB;12873;View Details;Th 3:30PM - 5:30PM;Gentile 108;Suzanne M Beaudet;01/22/2013 - 05/16/2013
PHE;384;"Fundamentals of Coaching";0001;LEC;12906;View Details;MoWe 12:30PM - 1:45PM;Pullen Hall 213;Leo L Saucier;01/22/2013 - 05/16/2013
PHE;385;"Adapted Physical Education";0001;LEC;12899;View Details;MoWeFr 8:00AM - 8:50AM;Pullen Hall 111;Christine L Standefer;01/22/2013 - 05/16/2013
PHE;388;"Practicum in Physical Educatio";0001;LEC;4218;View Details;TBA;UMPI Arranged Space;Barbara J Blackstone;01/22/2013 - 05/16/2013
PHE;396;"Field Work in Teaching Physical Education";0001;FEX;12903;View Details;Mo 3:30PM - 4:30PM;Pullen Hall 111;Christine L Standefer;01/22/2013 - 05/16/2013
PHE;495;"Student Teaching";0001;FEX;12971;View Details;TBA;UMPI Arranged Space;;01/22/2013 - 05/16/2013
PHE;496;"Field Work Experience";0001;FEX;4219;View Details;TBA;UMPI Arranged Space;Barbara J Blackstone;01/22/2013 - 05/16/2013
PHI;150;"Introduction to Logic";0001;LEC;4344;View Details;TBA;ONLINE;Guy R Gallagher;01/22/2013 - 05/16/2013
PHI;151;"Introduction to Philosophy";0001;LEC;4346;View Details;TBA;ONLINE;Raymond J Rice;01/22/2013 - 05/16/2013
PHI;374;"Topics in Philosophy and Literature";6WK1;LEC;7218;View Details;TBA;ONLINE;Michael D Amey;01/22/2013 - 03/08/2013
PHI;388;"Literary Theory and Critical Practice";0001;LEC;12987;View Details;TBA;ONLINE;Melissa M Crowe;01/22/2013 - 05/16/2013
PHY;154;"General Physics II";0001;LEC;9316;View Details;MoWeFr 9:00AM - 9:50AM;Folsom Hall 201;Peng Peng Yu;01/22/2013 - 05/16/2013
PHY;154;"General Physics II";0002;LAB;10558;View Details;Tu 8:00AM - 10:45AM;Folsom Hall 201;Peng Peng Yu;01/22/2013 - 05/16/2013
POS;101;"American Government";0001;LEC;4349;View Details;TBA;ONLINE;Brent S Anderson;01/22/2013 - 05/16/2013
POS;101;"American Government";0002;LEC;4350;View Details;Mo 10:00AM - 12:45PM;Houlton Center;Frank R Hayes;01/22/2013 - 05/16/2013
POS;101;"American Government";0003;LEC;4351;View Details;We 6:30PM - 9:15PM;Pullen Hall 111;Aaron Prestwood Kouhoupt;01/22/2013 - 05/16/2013
POS;101;"American Government";6WK2;LEC;12026;View Details;TBA;ONLINE;Brent S Anderson;03/18/2013 - 05/03/2013
POS;301;"European Governments and the European Union";0001;LEC;4352;View Details;TBA;ONLINE;Brent S Anderson;01/22/2013 - 05/16/2013
POS;370;"Topics in Non";0001;LEC;13578;View Details;TuTh 11:00AM - 12:15PM;Pullen Hall 213;John Defelice;01/22/2013 - 05/16/2013
POS;370;"Topics in Non";0002;LEC;13579;View Details;TuTh 11:00AM - 12:15PM;Houlton Center;John Defelice;01/22/2013 - 05/16/2013
POS;377;"Modern China";6WK2;LEC;11993;View Details;TBA;ONLINE;John Defelice;03/18/2013 - 05/03/2013
PSY;100;"General Psychology";0001;LEC;4354;View Details;TBA;ONLINE;John D Harrington;01/22/2013 - 05/16/2013
PSY;100;"General Psychology";0002;LEC;4355;View Details;TuTh 8:00AM - 9:15AM;Pullen Hall 111;Allen L Salo;01/22/2013 - 05/16/2013
PSY;100;"General Psychology";0003;LEC;4356;View Details;TuTh 11:00AM - 12:15PM;Pullen Hall 215;Allen L Salo;01/22/2013 - 05/16/2013
PSY;100;"General Psychology";0004;LEC;4357;View Details;Th 1:00PM - 3:45PM;Houlton Center;Melissa J Ivey;01/22/2013 - 05/16/2013
PSY;100;"General Psychology";6WK2;LEC;12027;View Details;TBA;ONLINE;John D Harrington;03/18/2013 - 05/03/2013
PSY;200;"Social Psychology";0001;LEC;8256;View Details;TBA;ONLINE;Melissa J Ivey;01/22/2013 - 05/16/2013
PSY;205;"Lifespan Development";0001;LEC;4359;View Details;Tu 4:00PM - 6:45PM;Houlton Center;Melissa J Ivey;01/22/2013 - 05/16/2013
PSY;205;"Lifespan Development";0002;LEC;4360;View Details;MoWe 12:30PM - 1:45PM;Normal 106;Paul E Johnson;01/22/2013 - 05/16/2013
PSY;205;"Lifespan Development";6WK2;LEC;12028;View Details;TBA;ONLINE;Paul E Johnson;03/18/2013 - 05/03/2013
PSY;311;"Research Methods I";0001;LEC;9986;View Details;MoWe 2:00PM - 3:15PM;Pullen Hall 213;Paul E Johnson;01/22/2013 - 05/16/2013
PSY;311;"Research Methods I";0002;LEC;9987;View Details;TBA;ONLINE;Melissa J Ivey;01/22/2013 - 05/16/2013
PSY;311;"Research Methods I";0003;LEC;10695;View Details;Th 4:00PM - 6:45PM;Houlton Center;Melissa J Ivey;01/22/2013 - 05/16/2013
PSY;360;"Animal Behavior";0001;LEC;8260;View Details;MoWe 12:30PM - 1:45PM;Pullen Hall 113;Allen L Salo;01/22/2013 - 05/16/2013
PSY;374;"Vocational Aspects of Disability";0001;LEC;4362;View Details;TuTh 2:00PM - 3:15PM;Pullen Hall 213;Franklin V Thompson;01/22/2013 - 05/16/2013
PSY;375;"Sex And Gender";0001;LEC;8261;View Details;TBA;ONLINE;Melissa J Ivey;01/22/2013 - 05/16/2013
PSY;380;"Principles of Counseling";0001;LEC;4363;View Details;TuTh 9:30AM - 10:45AM;Pullen Hall 213;Franklin V Thompson;01/22/2013 - 05/16/2013
PSY;382;"Substance Abuse Counseling";0001;LEC;4364;View Details;TuTh 11:00AM - 12:15PM;Pullen Hall 216;Franklin V Thompson;01/22/2013 - 05/16/2013
PSY;446;"Psychobiology";0001;LEC;9988;View Details;TuTh 2:00PM - 3:15PM;Folsom Hall 206;Allen L Salo;01/22/2013 - 05/16/2013
PSY;475;"History and Systems of Psychology";0001;LEC;10172;View Details;TuTh 3:30PM - 4:45PM;Pullen Hall 213;Paul E Johnson;01/22/2013 - 05/16/2013
PSY;475;"History and Systems of Psychology";0002;LEC;13812;View Details;TuTh 3:30PM - 4:45PM;Houlton Center;Paul E Johnson;01/22/2013 - 05/16/2013
PSY;480;"Advanced Research";0001;LEC;4367;View Details;TBA;UMPI Arranged Space;Allen L Salo;01/22/2013 - 05/16/2013
PSY;496;"Field Experience";0001;FEX;4368;View Details;TBA;UMPI Arranged Space;Allen L Salo;01/22/2013 - 05/16/2013
REC;235;"Outdoor Pursuits II";0001;LEC;13659;View Details;We 8:00AM - 10:45AM;Normal 104B;Mark Alan Shea;01/22/2013 - 05/16/2013
REC;364;"Introduction to Rock Climbing";0001;LEC;13658;View Details;Mo 12:30PM - 3:15PM;Gentile 105A Climbing Wall;Leonard Charles Cole;01/22/2013 - 05/16/2013
REC;386;"Special Topics in Recreation";6WK1;LEC;13651;View Details;We 12:30PM - 2:45PM;Normal 104B;Amanda Gerarda Morin;01/22/2013 - 03/08/2013
REC;480;"Recreation Seminar";0001;SEM;13660;View Details;TuTh 11:00AM - 12:15PM;UMPI Arranged Space;Amanda Gerarda Morin;01/22/2013 - 05/16/2013
REC;486;"Special Topics in Recreation";6WK2;LEC;13652;View Details;We 12:30PM - 2:45PM;Gentile 105A Climbing Wall;Leonard Charles Cole;03/18/2013 - 05/03/2013
RUS;101;"Elementary Russian I";0001;LEC;4369;View Details;TBA;ONLINE;Natalija Alexandria Brewer;01/22/2013 - 05/16/2013
SCI;100;"Survey of Science";0001;LEC;4370;View Details;MoWe 8:00AM - 9:55AM;Folsom Hall 301;Catherine A Chase;01/22/2013 - 05/16/2013
SCI;100;"Survey of Science";0002;LEC;4371;View Details;MoWe 10:00AM - 11:55AM;Folsom Hall 301;Catherine A Chase;01/22/2013 - 05/16/2013
SED;352;"Collaboration &amp; Consultation in General and Special Education";0001;LEC;12909;View Details;MoWe 11:00AM - 12:15PM;Pullen Hall 212;William A Breton;01/22/2013 - 05/16/2013
SED;397;"Independent Study";0001;IND;14066;View Details;TBA;UMPI Arranged Space;William A Breton;01/22/2013 - 05/16/2013
SOC;100;"Introduction to Sociology";0001;LEC;4222;View Details;TuTh 11:00AM - 12:15PM;Folsom Hall 204;Lisa R Leduc;01/22/2013 - 05/16/2013
SOC;100;"Introduction to Sociology";0002;LEC;11323;View Details;TBA;ONLINE;David T Ferrell;01/22/2013 - 05/16/2013
SOC;200;"Social Psychology";0001;LEC;13001;View Details;TBA;ONLINE;Melissa J Ivey;01/22/2013 - 05/16/2013
SOC;230;"Criminology";0001;LEC;4227;View Details;TuTh 9:30AM - 10:45AM;Folsom Hall 303;Lisa R Leduc;01/22/2013 - 05/16/2013
SOC;311;"Research Methods I";0001;LEC;13002;View Details;MoWe 2:00PM - 3:15PM;Pullen Hall 213;Paul E Johnson;01/22/2013 - 05/16/2013
SOC;311;"Research Methods I";0002;LEC;13003;View Details;TBA;ONLINE;Melissa J Ivey;01/22/2013 - 05/16/2013
SOC;311;"Research Methods I";0003;LEC;13004;View Details;Th 4:00PM - 6:45PM;Houlton Center;Melissa J Ivey;01/22/2013 - 05/16/2013
SOC;313;"Psychology and Sociology of Sport and Movement";0001;LEC;12992;View Details;TuTh 9:30AM - 10:45AM;Pullen Hall 111;Christine L Standefer;01/22/2013 - 05/16/2013
SOC;358;"Domestic Violence";0001;LEC;4226;View Details;TuTh 2:00PM - 3:15PM;Pullen Hall 212;Lisa R Leduc;01/22/2013 - 05/16/2013
SOC;376;"Punishment &amp; Correction";0001;LEC;4221;View Details;MoWe 12:30PM - 1:45PM;Pullen Hall 212;Lisa R Leduc;01/22/2013 - 05/16/2013
SOC;496;"Field Experience";0001;FEX;4229;View Details;TBA;UMPI Arranged Space;Lisa R Leduc;01/22/2013 - 05/16/2013
SPA;101;"Elementary Spanish I";0001;LEC;4373;View Details;TBA;ONLINE;Debra A Guiod;01/22/2013 - 05/16/2013
SPA;101;"Elementary Spanish I";0002;LEC;4374;View Details;MoWe 3:30PM - 4:45PM;Pullen Hall 213;Debra A Guiod;01/22/2013 - 05/16/2013
SPA;101;"Elementary Spanish I";0003;LEC;4376;View Details;TBA;ONLINE;Carmen Doheny;01/22/2013 - 05/16/2013
SPA;101;"Elementary Spanish I";0004;LEC;10696;View Details;TuTh 4:30PM - 5:45PM;Houlton Center;Debra A Guiod;01/22/2013 - 05/16/2013
SPA;102;"Elementary Spanish II";0001;LEC;9983;View Details;TBA;ONLINE;Carmen Doheny;01/22/2013 - 05/16/2013
SWK;200;"Intro to Social Work and Welfare";0002;LEC;13483;View Details;TBA;ONLINE;Kim-Anne Perkins;01/22/2013 - 05/16/2013
SWK;236;"Psychosocial Rehabilitation";0001;LEC;4202;View Details;MoWe 2:00PM - 3:15PM;Pullen Hall 113;Kim-Anne Perkins;01/22/2013 - 05/16/2013
SWK;287;"Human Behavior in the Social Environment II";0001;LEC;4200;View Details;MoWe 11:00AM - 12:15PM;Normal 106;Shirley J Rush;01/22/2013 - 05/16/2013
SWK;305;"Ethnicity &amp; Multiculturalism";0001;LEC;4203;View Details;TuTh 3:30PM - 4:45PM;Normal 104A;Kim-Anne Perkins;01/22/2013 - 05/16/2013
SWK;315;"Social Work Practice I";0001;LEC;4198;View Details;TuTh 8:00AM - 9:15AM;Normal 104A;Kim-Anne Perkins;01/22/2013 - 05/16/2013
SWK;325;"Gerontology";0001;LEC;14067;View Details;TBA;UMPI Arranged Space;Kim-Anne Perkins;01/22/2013 - 05/16/2013
SWK;350;"Children and Grief &amp; Its Impact on Learning";0001;LEC;4204;View Details;MoWe 3:30PM - 4:45PM;Normal 106;Shirley J Rush;01/22/2013 - 05/16/2013
SWK;380;"Social Work Methods and Practice with Families";0001;LEC;4201;View Details;MoWe 12:30PM - 1:45PM;Pullen Hall 111;Jean H Cashman;01/22/2013 - 05/16/2013
SWK;381;"Crisis Intervention";0001;LEC;4206;View Details;We 6:00PM - 8:45PM;Normal 104A;Michelle Reinecke;01/22/2013 - 05/16/2013
SWK;396A;"Junior Field I";0001;FEX;14074;View Details;TBA;UMPI Arranged Space;Jean H Cashman;01/22/2013 - 05/16/2013
SWK;396B;"Junior Field II";0001;FEX;12293;View Details;MoWe 9:00AM - 9:50AM;Pullen Hall 113;Jean H Cashman;01/22/2013 - 05/16/2013;Fr 9:00AM - 9:50AM;UMPI Arranged Space;Jean H Cashman;01/22/2013 - 05/16/2013
SWK;405;"Social Work Practice III";0001;LEC;4199;View Details;TuTh 8:00AM - 9:15AM;Normal 106;Shirley J Rush;01/22/2013 - 05/16/2013
SWK;425;"Topics in Social Work";0001;LEC;13801;View Details;TBA;UMPI Arranged Space;Shirley J Rush;01/22/2013 - 05/16/2013
SWK;496B;"Senior Field II";0001;FEX;12294;View Details;Tu 9:30AM - 12:15PM;UMPI Arranged Space;Jean H Cashman;01/22/2013 - 05/16/2013
SWK;497;"Independent Study";0001;IND;14339;View Details;TBA;UMPI Arranged Space;Shirley J Rush;01/22/2013 - 05/16/2013
