"Plant Soil Envirnmntl Sci",http://www.umaine.edu/hr/salaried/cohort/Four/CohortByLastName.pdf
"Political Science",http://umaine.edu/polisci/
"President's Office",http://umaine.edu/president/
"Printing Services",http://www.umaine.edu/printingservices/
"Psychology",http://umaine.edu/psychology/
"Public Administration",http://umaine.edu/pubadmin/
"Purchasing Office",http://umaine.edu/purchasing/forms-and-info-for.../office-furniture-contracts/
"School of Business",http://umaine.edu/business/
"School of Engineering Tech.",http://www.umaine.edu/set/
"School of Marine Sciences",http://www.umaine.edu/marine/
"School of Nursing",http://umaine.edu/nursing/
"School of Performing Arts",http://umaine.edu/spa/
"Sea Grant",http://www.seagrant.umaine.edu/
"Social Work",http://www.umaine.edu/socialwork/
"Sociology",http://umaine.edu/sociology/
"Spatial Inf Science Eng",http://spatial.umaine.edu/
"Sponsored Programs Division",http://www.civil.umaine.edu/files/2009/12/opas-form.doc
"Student Aid",http://umaine.edu/stuaid/
"Student Records",http://www.studentrecords.umaine.edu/
"University Bookstore",http://www.bookstore.umaine.edu/
"VP Academic Affairs",http://umaine.edu/provost/
"VP Research",http://umaine.edu/research/vice-president-for-research/
"Wabanaki Center",http://www.naps.umaine.edu/
"Water Research Institute",http://www.umaine.edu/waterresearch/
"Wildlife Ecology",http://www.wle.umaine.edu/
"Women In Curriculum",http://umaine.edu/wic/
"Women's Resource Center",http://www.wrc.umaine.edu/
"University Relations",http://umaine.edu/relations/
"department",http://www.physics.umaine.edu/
"",http://www.umaine.edu
