department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ANT;475;"Environmental Archaeology";0001;LEC;7831;View Details;TuTh 9:30AM - 10:45AM;Stevens Hall South 232A;Kurt M Rademaker;01/14/2013 - 05/03/2013
ANT;490;"Topics in Anthropology";0001;LEC;7832;View Details;We 3:10PM - 5:40PM;Stevens Hall South 232A;Samuel Hanes;01/14/2013 - 05/03/2013
ANT;492;"Capstone in Anthropology";0001;IND;13137;View Details;TBA;TBA;Catherine West;01/14/2013 - 05/03/2013
ANT;493;"Capstone in Anthropology: What does it mean to be human?";0001;LEC;7833;View Details;Tu 3:30PM - 6:00PM;Stevens Hall North 235;Veronica C Ocampo-Raeder;01/14/2013 - 05/03/2013
ANT;497;"Department Projects";0001;IND;1844;View Details;TBA;TBA;;01/14/2013 - 05/03/2013
ANT;497;"Department Projects";0002;IND;2887;View Details;TBA;TBA;Staff;01/14/2013 - 05/03/2013
ANT;530;"Human Dimensions of Climate Change";0001;LEC;13570;View Details;Mo 3:10PM - 5:40PM;Stevens Hall South 104A;Paul B Roscoe;01/14/2013 - 05/03/2013
ANT;597;"Advanced Topics in Anthropology";0001;IND;1849;View Details;We 3:10AM - 5:40AM;Arranged;Samuel Hanes;01/14/2013 - 05/03/2013
ANT;597;"Advanced Topics in Anthropology";0002;IND;1850;View Details;TBA;TBA;Darren J Ranco;01/14/2013 - 05/03/2013
ANT;597;"Advanced Topics in Anthropology";0003;IND;3169;View Details;TBA;TBA;Darren J Ranco;01/14/2013 - 05/03/2013
ANT;597;"Advanced Topics in Anthropology";0004;IND;14262;View Details;TuTh 9:30AM - 10:45AM;Arranged;Pauleena M Macdougall;01/14/2013 - 05/03/2013
ANT;597;"Advanced Topics in Anthropology";0005;IND;14263;View Details;TBA;TBA;Daniel H Sandweiss;01/14/2013 - 05/03/2013
ARH;100;"Art and Human Experience";0500;LEC;2500;View Details;MoWe 10:30AM - 11:45AM;Lord Hall 100;Karen A Linehan;01/14/2013 - 05/03/2013
ARH;155;"Art and Visual Culture in the Ancient and Medieval Worlds";0001;LEC;1016;View Details;TuTh 9:30AM - 10:45AM;Lord Hall 100;Carolyn M Swan;01/14/2013 - 05/03/2013
ARH;156;"Art and Visual Culture in the Modern Era";0001;LEC;1017;View Details;MoWe 9:00AM - 10:15AM;Lord Hall 100;Carolyn M Swan;01/14/2013 - 05/03/2013
ARH;156;"Art and Visual Culture in the Modern Era";0500;LEC;2501;View Details;MoWe 2:10PM - 3:25PM;Lord Hall 100;Karen A Linehan;01/14/2013 - 05/03/2013
ARH;251;"Classical Art and Architecture";0001;LEC;7857;View Details;TuTh 11:00AM - 12:15PM;Lord Hall 200;Carolyn M Swan;01/14/2013 - 05/03/2013
ARH;264;"Themes and Issues in Contemporary Art";0001;LEC;7858;View Details;MoWe 11:00AM - 12:15PM;Lord Hall 200;Justin Wolff;01/14/2013 - 05/03/2013
ARH;351;"Art Theory and Criticism";0001;LEC;7860;View Details;We 3:10PM - 5:40PM;Lord Hall 225;Justin Wolff;01/14/2013 - 05/03/2013
ARH;397;"Independent Study in Art History";0001;IND;1027;View Details;TBA;TBA;Staff;01/14/2013 - 05/03/2013
ARH;397;"Independent Study in Art History";0002;IND;1028;View Details;TBA;TBA;Michael H Grillo;01/14/2013 - 05/03/2013
ARH;397;"Independent Study in Art History";0003;IND;2516;View Details;TBA;TBA;Justin Wolff;01/14/2013 - 05/03/2013
ARH;397;"Independent Study in Art History";0004;IND;2560;View Details;TBA;TBA;Staff;01/14/2013 - 05/03/2013
ARH;398;"Directed Study in Art History";0001;IND;1029;View Details;TBA;TBA;Staff;01/14/2013 - 05/03/2013
ARH;398;"Directed Study in Art History";0002;IND;1030;View Details;TBA;TBA;Michael H Grillo;01/14/2013 - 05/03/2013
ARH;398;"Directed Study in Art History";0003;IND;2517;View Details;TBA;TBA;Justin Wolff;01/14/2013 - 05/03/2013
ARH;494;"Renaissance Research Seminar";0001;SEM;13101;View Details;Mo 3:10PM - 5:40PM;Lord Hall 225;Michael H Grillo;01/14/2013 - 05/03/2013
ARH;494;"Renaissance Research Seminar";0990;SEM;7945;View Details;Mo 3:10PM - 5:40PM;On-line Course;Michael H Grillo;01/14/2013 - 05/03/2013
ARH;496;"Field Experience in Art History";0001;FEX;1046;View Details;TBA;TBA;Michael H Grillo;01/14/2013 - 05/03/2013
ARH;497;"Independent Study in Art History";0001;IND;1047;View Details;TBA;TBA;Staff;01/14/2013 - 05/03/2013
ARH;497;"Independent Study in Art History";0002;IND;1048;View Details;TBA;TBA;Michael H Grillo;01/14/2013 - 05/03/2013
ARH;497;"Independent Study in Art History";0003;IND;2518;View Details;TBA;TBA;Justin Wolff;01/14/2013 - 05/03/2013
ARH;498;"Directed Study in Art History";0001;IND;1049;View Details;TBA;TBA;Staff;01/14/2013 - 05/03/2013
ARH;498;"Directed Study in Art History";0002;IND;1052;View Details;TBA;TBA;Michael H Grillo;01/14/2013 - 05/03/2013
ARH;498;"Directed Study in Art History";0003;IND;2519;View Details;TBA;TBA;Justin Wolff;01/14/2013 - 05/03/2013
ARH;499;"Capstone Experience in History of Art";0001;IND;1053;View Details;TBA;TBA;;01/14/2013 - 05/03/2013
ARH;597;"Independent Graduate Study";0001;IND;1054;View Details;TBA;TBA;Michael H Grillo;01/14/2013 - 05/03/2013
ARH;597;"Independent Graduate Study";0002;IND;1055;View Details;TBA;TBA;Owen F Smith;01/14/2013 - 05/03/2013
ARH;597;"Independent Graduate Study";0003;IND;2520;View Details;TBA;TBA;Justin Wolff;01/14/2013 - 05/03/2013
ARH;694;"Renaissance Research Seminar";0001;LEC;13102;View Details;Mo 3:10PM - 5:40PM;Lord Hall 225;Michael H Grillo;01/14/2013 - 05/03/2013
ARH;694;"Renaissance Research Seminar";0990;LEC;7946;View Details;Mo 3:10PM - 5:40PM;On-line Course;Michael H Grillo;01/14/2013 - 05/03/2013
