"Powers Hall";"44710022";"-67458190";
"Science Building";"44709137";"-67458326";
"Merrill Library";"44708810";"-67458069";
"Torrey Hall";"44708588";"-67457717";
"Flaherty Center";"44706985";"-67456681";
"Support Building";"44711022";"-67457330";
"Reynolds Center";"44707502";"-67456070";
"Dorward Hall";"44710685";"-67455367";
"Sennett Hall";"44709721";"-67456355";
"Kilburn Commons";"44710332";"-67455791";
"Kimball Hall";"44710549";"-67457399";
"O'Brien House";"44709750";"-67457543";
