"Center of Campus";"44709168";"-67456448";"centerofcampus"
"Performing Arts Center Lot";"44709843";"-67458673";"general"
"Torrey Hall Lot";"44708158";"-67457382";"general"
"Reynolds Center Lot";"44707689";"-67456664";"general"
"Fitness Center Lot";"44707491";"-67455540";"general"
"Flaherty Lot";"44706913";"-67456229";"general"
"Soccer Field Lot";"44709882";"-67455174";"general"
"Sennett Hall Lot";"44709912";"-67456232";"general"
