"**Center of Campus**";"44342012";"-69795104";"centerofcampus"
"Community Drive Lot";"44342501";"-69796992";"general"
"Civic Center Lot";"44341359";"-69799516";"general"
"Farmhouse Lot";"44340699";"-69797610";"general"
"University Drive Lot";"44338965";"-69794702";"general"
