"**Center of Campus**";"47250118";"-68589457";"centerofcampus"
"Sports Center Lot";"47249141";"-68592484";"general"
"Soccer Field Lot";"47248967";"-68590761";"general"
"Old Model School Lot";"47250087";"-68590207";"general"
"Fox Auditorium Lot";"47250571";"-68590181";"general"
"Cyr Hall Lot";"47250961";"-68587716";"general"
"Nowland Hall Lot";"47249678";"-68587430";"general"
